,YearMonth,Close,Volume,Change
0,2010/01,1682.1575,459912000.0,-0.002385
1,2010/02,1598.9563157894736,379900526.31578946,-0.0001736842105263156
2,2010/03,1665.5040909090908,417962272.72727275,0.0027363636363636314
3,2010/04,1730.286818181818,423010454.54545456,0.0013272727272727273
4,2010/05,1648.3,398716842.1052632,-0.0030052631578947266
5,2010/06,1691.9371428571428,338268571.4285714,0.0016714285714285718
6,2010/07,1731.1227272727272,365820454.54545456,0.001631818181818182
7,2010/08,1762.1836363636364,331186818.1818182,-0.0003818181818181818
8,2010/09,1815.7494736842104,332826315.7894737,0.003810526315789468
9,2010/10,1889.6971428571428,371128571.4285714,0.00028571428571428086
10,2010/11,1924.7072727272725,353129090.90909094,0.0005681818181818179
11,2010/12,2002.5040909090908,399010909.09090906,0.0033863636363636457
12,2011/01,2091.6099999999997,390384761.9047619,0.00046666666666665707
13,2011/02,2002.8694117647058,315000000.0,-0.0037647058823529413
14,2011/03,2002.669090909091,300856363.6363636,0.003836363636363645
15,2011/04,2153.132380952381,367605238.0952381,0.0019476190476190522
16,2011/05,2121.8720000000003,310985500.0,-0.001055
17,2011/06,2074.6438095238095,260614285.7142857,-0.0008809523809523761
18,2011/07,2150.0561904761903,314056666.6666667,0.0007714285714285524
19,2011/08,1869.4077272727272,436811818.1818182,-0.0053636363636363725
20,2011/09,1790.9495,384443000.0,-0.0026600000000000052
21,2011/10,1825.878,365271500.0,0.003954999999999999
22,2011/11,1858.7954545454545,355903181.8181818,-0.0013136363636363634
23,2011/12,1863.23,434233333.3333333,-0.0004333333333333336
24,2012/01,1891.0115,429804000.0,0.0035000000000000005
25,2012/02,2003.2314285714285,628672380.9523809,0.001819047619047624
26,2012/03,2023.407142857143,496888095.2380952,-0.0003428571428571523
27,2012/04,1995.9195,532367000.0,-0.0007649999999999998
28,2012/05,1886.3509523809525,477252857.14285713,-0.003366666666666672
29,2012/06,1848.5994999999998,373133500.0,0.00036500000000002486
30,2012/07,1826.75,376384090.90909094,0.0007545454545454546
31,2012/08,1918.9122727272727,445579545.45454544,0.0005909090909090954
32,2012/09,1961.289,753138000.0,0.0023949999999999952
33,2012/10,1942.1938095238095,482695238.0952381,-0.002038095238095243
34,2012/11,1904.703181818182,447668636.3636364,0.0005181818181818226
35,2012/12,1973.8416666666667,397046111.1111111,0.0018277777777777724
36,2013/01,1986.1031818181816,495655000.0,-0.0007818181818181818
37,2013/02,1979.8547368421052,384607894.7368421,0.0017368421052631631
38,2013/03,1990.243,342831500.0,-0.000525000000000005
39,2013/04,1938.8840909090907,349745000.0,-0.0009090909090909091
40,2013/05,1974.4538095238095,313666666.6666667,0.0009142857142857142
41,2013/06,1884.4126315789472,295025263.15789473,-0.0036578947368420996
42,2013/07,1871.7682608695652,330599565.2173913,0.0011956521739130651
43,2013/08,1896.9619047619046,335235714.28571427,0.0003523809523809285
44,2013/09,1984.3944444444444,282506111.1111111,0.00200555555555555
45,2013/10,2029.675238095238,271655238.0952381,0.0008047619047619047
46,2013/11,2009.9242857142858,290660952.38095236,0.0003857142857142954
47,2013/12,1989.4295238095237,219221534.76190478,-0.0007761904761904714
48,2014/01,1948.2195,254748500.0,-0.001745
49,2014/02,1937.7329999999997,224111500.0,0.0010249999999999999
50,2014/03,1952.4295238095237,236658571.42857143,0.00015714285714285242
51,2014/04,1991.1913636363636,213178181.8181818,-0.00054545454545455
52,2014/05,1994.1347368421052,225558421.0526316,0.0009000000000000001
53,2014/06,1995.0836842105261,242214210.52631578,0.00021578947368419991
54,2014/07,2021.9521739130435,303608695.65217394,0.001591304347826087
55,2014/08,2060.9335,304077000.0,-0.00017500000000000984
56,2014/09,2042.7105263157894,344313157.8947368,-0.001236842105263158
57,2014/10,1942.8028571428572,351880476.1904762,-0.0012952380952380906
58,2014/11,1959.6470000000002,314833500.0,0.00042999999999999
59,2014/12,1941.9257142857143,319662380.95238096,-0.0015714285714285715
60,2015/01,1920.992857142857,325990952.38095236,0.000857142857142843
